snap,redshift,CMx,CMy,CMz,Particles_in,Particles_out
d5004.00057.npy,9.92496,0.0,0.0,0.0,2873.0,97758.0
d5004.00310.npy,5.99825,0.0,0.0,0.0,2873.0,97758.0
d5004.00715.npy,4.99997,0.0,0.0,0.0,2873.0,97758.0
d5004.01615.npy,3.99995,0.0,0.0,0.0,2873.0,97758.0
d5004.02255.npy,3.49968,0.0,0.0,0.0,2873.0,97758.0
d5004.03667.npy,2.99998,0.0,0.0,0.0,2873.0,97758.0
d5004.04447.npy,2.80009,0.0,0.0,0.0,2873.0,97758.0
d5004.04452.npy,2.80009,0.003511110111127856,0.0037489077699380422,0.002325569479623154,25465.0,75166.0
d5004.05137.npy,2.6501,0.0,6.907118750008194e-05,0.0,3120.0,97511.0
d5004.05753.npy,2.53018,0.00433695800222249,0.0034824170457896145,0.0041199353582582815,44172.0,56459.0
d5004.05919.npy,2.49996,0.003545618635777804,0.0025368168743911757,0.003663395509502503,43804.0,56827.0
d5004.06426.npy,2.4101,0.0003283600073357481,0.000799810749920024,8.379767938144251e-05,8277.0,92354.0
d5004.07112.npy,2.29995,0.0,2.8155350018283404e-05,0.0,3120.0,97511.0
d5004.07829.npy,2.20012,5.8753553616766245e-05,0.00048022353929635914,5.424130123730031e-05,7086.0,93545.0
d5004.08678.npy,2.09016,0.00010695291459356697,0.0004160999856258702,4.818265871714219e-05,8220.0,92411.0
d5004.09687.npy,2.00004,3.620199267236732e-05,0.0002576863404958464,0.0,6668.0,93963.0
d5004.11157.npy,1.87012,3.639997421653527e-05,0.00028627635964413264,0.0,8133.0,92498.0
d5004.12585.npy,1.74995,8.857709259853873e-05,0.0002870597807052645,3.740263282001606e-05,9386.0,91245.0
d5004.13951.npy,1.63991,9.365158637173447e-05,0.0002468577047823693,2.7904711038796597e-05,9983.0,90648.0
d5004.14999.npy,1.53996,3.671422021065677e-05,0.00012301542659346493,0.0,7075.0,93556.0
d5004.16140.npy,1.44994,4.189329555860153e-05,9.336507659578177e-05,0.0,6956.0,93675.0
d5004.17697.npy,1.36007,3.753005874776955e-05,7.63177311854588e-05,0.0,7305.0,93326.0
d5004.18943.npy,1.28001,0.00010025534952754998,0.00011840271537073153,1.217052739161903e-05,5600.0,95031.0
d5004.20220.npy,1.21008,0.00010229837615495408,8.123482875647297e-05,5.819684294861352e-07,3645.0,96986.0
d5004.21540.npy,1.14009,8.623405975051018e-05,8.49996665703685e-05,1.4230565485410176e-05,9675.0,90956.0
d5004.22852.npy,1.07001,0.00010506814330811237,9.621621195643121e-05,0.0002589447914501728,7154.0,93477.0
d5004.24563.npy,1.01013,9.379230360559676e-05,8.74245296572534e-05,8.865157086120111e-05,5563.0,95068.0
d5004.26403.npy,0.9501,7.30022716708807e-05,7.18223407863131e-05,2.2157400109446346e-05,7244.0,93387.0
d5004.28226.npy,0.89005,8.22775435542099e-05,8.478300178370078e-05,0.00023548460642626228,8743.0,91888.0
d5004.29679.npy,0.83999,7.562704559904043e-05,7.96204051335037e-05,0.00023002946654513217,6541.0,94090.0
d5004.31158.npy,0.78997,6.373142939186308e-05,6.376979506205156e-05,0.0002755184753857018,9668.0,90963.0
d5004.32718.npy,0.74011,3.059870727280197e-05,2.3996977940669026e-05,0.00018913029580270473,8282.0,92349.0
d5004.34220.npy,0.70011,3.842781711311012e-05,2.564451466103335e-05,0.0001930879869866271,8837.0,91794.0
d5004.35692.npy,0.66003,5.6659912744201523e-05,3.399997162689971e-05,0.00019634932114112334,7630.0,93001.0
d5004.37041.npy,0.62002,4.5570941232083456e-05,2.3481678875830203e-05,9.757700728741025e-05,9249.0,91382.0
d5004.38535.npy,0.58008,5.479506252145078e-05,2.9059893996723957e-05,0.00010095959563472345,7682.0,92949.0
d5004.40045.npy,0.54006,4.542500792023197e-06,8.250106520127678e-06,9.249079795663345e-07,8302.0,92329.0
